id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-gpq-011,noi,Giãn phế quản,Hô hấp,Hình ảnh Xquang giãn PQ trừ:,Hình ảnh tổ ong,Hình ảnh thành PQ chạy song song,Hình ảnh phổi bẩn,Hình ảnh các đám mờ hình ống,,c,Trong COPD
noi-gpq-012,noi,Giãn phế quản,Hô hấp,Hình ảnh chụp cắt lớp vi tính ngực trong bệnh giãn phế quản có thể gặp các tổn thương sau TRỪ:,Đường kính trong của phế quản lớn hơn động mạch đi kem,Hình ảnh phế quản đi sát vào màng phổi trung thất,Các phế quản không nhỏ dần,Hình ảnh phế quản ở cách màng phổi thành ngực trên 1cm,,d,
noi-gpq-013,noi,Giãn phế quản,Hô hấp,"CT trong giãn phế quản, không đúng:",Đường kính trong phế quản lớn hơn động mạch đi kèm.,Các phế quản không nhỏ dần,Phế quản sát thành ngực,Thành phế quản mỏng,,d,
noi-gpq-014,noi,Giãn phế quản,Hô hấp,Tiêu chuẩn chẩn đoán GPQ trên CT không bao gồm:,Đường kính trong PQ lớn hơn động mạch đi kèm.,PQ đi sát vào màng phổi trung thất.,Thành PQ mỏng.,Hình ảnh ngón tay đi găng.,,c,
noi-gpq-015,noi,Giãn phế quản,Hô hấp,"Thể bệnh giãn phế quản lan tỏa có các đặc điểm sau, trừ:",Phẫu thuật được,Thể nặng,Giãn phế quản nhiều thùy ở hai bên phổi,Có thể có suy hô hấp,,a,
noi-gpq-016,noi,Giãn phế quản,Hô hấp,Phẫu thuật xử trí giãn phế quản khi:,Ho ra máu nặng kem giãn phế quản lan tỏa,Giãn phế quản khu trú ở 1 thùy phổi điều trị nội kém đáp ứng,Viêm phổi tái phát kem suy hô hấp,,,b,
noi-gpq-017,noi,Giãn phế quản,Hô hấp,Giãn phế quản lan tỏa là theo phân loại gì:,Vị trí tổn thương,Giải phẫu bệnh,Nguyên nhân,Tính chất,,a,
noi-gpq-018,noi,Giãn phế quản,Hô hấp,Triệu chứng đặc trưng của GPQ thể ướt:,Khạc đờm 3 lớp,Ho ra máu,Đau ngực,Khó thở,,a,
noi-gpq-019,noi,Giãn phế quản,Hô hấp,"GPQ điều trị phẫu thuật, trừ:",Suy hô hấp mạn,Ho máu tái phát,Tổn thương khu trú,U chèn ép,,a,
noi-gpq-020,noi,Giãn phế quản,Hô hấp,"Bệnh nhân GPQ có ho máu nhẹ, điều trị nào sau đây đúng, trừ:",Nghỉ ngơi,Giảm ho,Morphin,Ăn lỏng,,c,
noi-gpq-021,noi,Giãn phế quản,Hô hấp,Chỉ định PT không đúng trong giãn phế quản?,GPQ lan tỏa,GPQ khu trú tại 1 thùy,Ho máu nhiều lần,Tắc do khối u,,a,
noi-gpq-022,noi,Giãn phế quản,Hô hấp,Chỉ định phẫu thuật trong giãn phế quản,"Giãn phế quản 2 bên, kèm ho máu tái phát",Giãn phế quản khu trú 1 thùy phổi,Có rối loạn thông khí,Giãn phế quản kèm dị tật bẩm sinh,,b,
noi-gpq-023,noi,Giãn phế quản,Hô hấp,Căn nguyên vi sinh thường gặp trong giãn phế quản,Streptocus pneumonie,Pseudomonas aerugionsa,Haemophylus influenzae,KlebsIalla pneumoniae,,b,
noi-gpq-024,noi,Giãn phế quản,Hô hấp,"Điều trị kháng sinh trong giãn phế quản, trừ",Không quá 7 ngày,Nếu đờm mủ thối thì dùng beta lactam phối hợp metronidazol,Dùng thuốc viên và tiêm tùy theo mức độ nặng của bội nhiễm,Trong các đợt bội nhiễm,,a,10-14 ngày
noi-gpq-025,noi,Giãn phế quản,Hô hấp,"Bệnh nhân giãn phế quản, ho khạc đờm mủ thối, điều trị đúng cho bệnh nhân trừ:",Kháng sinh 1 – 7 ngày,Thay đổi kháng sinh theo đáp ứng và kháng sinh đồ,β-lactam phối hợp metronidazole,Kháng sinh đường tĩnh mạch,,a,
noi-gpq-026,noi,Giãn phế quản,Hô hấp,Hội chứng xoang phế quản nên điều trị lâu dài (ít nhất 6 tháng):,Thuốc giãn phế quản,Thuốc kháng sinh nhóm Macrolide,Thuốc long đờm,Thuốc tăng cường hệ miễn dịch,,b,Kéo dài 6- 24m
noi-gpq-027,noi,Giãn phế quản,Hô hấp,"BN nữ, 35 tuổi, vào viện vì sốt, ho, đờm đục. Chụp Xquang tim phổi có hình ảnh như phim chụp bên dưới CĐ có khả năng nhiều nhất là",Giãn PQ bội nhiễm,"Kén PQ, kén phổi bội nhiễm",Hang lao,UT áp xe hóa,,b,
noi-gpq-028,noi,Giãn phế quản,Hô hấp,"BN nữ, 35 tuổi, vào viện vì sốt, ho, đờm đục. Chụp Xquang tim phổi có hình ảnh như phim chụp bên dưới Lựa chọn điều trị tốt nhất áp dụng cho BN này là",Điều trị KS phối hợp,PT cấp cứu,"Điều trị KS, sau đó PT",Bơm thuốc KS vào tổn thương,,c,
noi-gpq-029,noi,Giãn phế quản,Hô hấp,"Đặc điểm của rale ẩm, rale nổ trong giãn phế quản là:",Lúc có lúc không.,Cố định ở một vùng và không mất đi sau điều trị,Không có tính chất cố định tại một vùng,Mất hẳn sau điều trị,,b,
noi-gpq-030,noi,Giãn phế quản,Hô hấp,Biến chứng không gặp trong giãn phế quản:,Viêm phổi tái phát,Tràn dịch màng phổi,Suy tim trái,Suy hô hấp,,c,
noi-gpq-031,noi,Giãn phế quản,Hô hấp,Chỉ định PT giãn PQ,Giãn PQ khu trú,Giãn PQ bẩm sinh,Giãn PQ giảm CNHH,Giãn PQ 2 bên,,a,
noi-gpq-032,noi,Giãn phế quản,Hô hấp,Triệu chứng nổi bật của giãn PQ thể khô:,Ho máu,Đau ngực,Khạc đờm 3 lớp,Khó thở,,a,
noi-gpq-033,noi,Giãn phế quản,Hô hấp,"Hội chứng Kartagener có đặc điểm, trừ",Có tính chất gia đình,Khí quản giãn,Giãn phế quản lân tỏa,"Viêm xoang sàng, xoang má",,b,
noi-gpq-034,noi,Giãn phế quản,Hô hấp,Sử dụng kháng sinh cho bệnh nhân giãn phế quản khi nào:,Bệnh nhân có sốt,Bệnh nhân có bội nhiễm,Kháng sinh dự phòng,Bệnh nhân ho máu nhẹ 🡪 Ho máu TB,,b,
noi-gpq-035,noi,Giãn phế quản,Hô hấp,"Giãn phế quản là bệnh tổn thương, vĩnh viễn, không hồi phục của phế quản — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-gpq-036,noi,Giãn phế quản,Hô hấp,Giãn phế quản lan toả là một bệnh có thể chữa khỏi hoàn toàn — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-037,noi,Giãn phế quản,Hô hấp,"Bệnh giãn phế quản là một bệnh có thể dễ chữa được triệt để nếu tổn thương khu trú, chưa có biến chứng nặng — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-gpq-038,noi,Giãn phế quản,Hô hấp,Giãn phế quản có biến chứng nặng là tâm phế mạn tính — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-039,noi,Giãn phế quản,Hô hấp,Điều trị giãn phế quản cần dẫn lưu tư thế thường xuyên phối hợp vỗ rung là quan trọng nhất — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-040,noi,Giãn phế quản,Hô hấp,Các chỉ định mổ giãn phế quản: Giãn phế quản 2 bên viêm tái đi tái lại — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-041,noi,Giãn phế quản,Hô hấp,Các chỉ định mổ giãn phế quản: Giãn phế quản bẩm sinh — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-042,noi,Giãn phế quản,Hô hấp,"Các chỉ định mổ giãn phế quản: Giãn phế quản khu trú 1 thùy, 1 bên phổi — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-gpq-043,noi,Giãn phế quản,Hô hấp,Các chỉ định mổ giãn phế quản: Giãn phế quản có giảm thông khí phổi — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-044,noi,Giãn phế quản,Hô hấp,Các chỉ định mổ giãn phế quản: GPQ khu trú có ho máu tái phát nhiều lần — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-045,noi,Giãn phế quản,Hô hấp,(NT 48)  Xquang giãn PQ: Có hình ảnh viêm tổ chức quanh phế quản giãn — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-046,noi,Giãn phế quản,Hô hấp,(NT 48)  Xquang giãn PQ: Tổ ong — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-047,noi,Giãn phế quản,Hô hấp,(NT 48)  Xquang giãn PQ: Đường song song — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-048,noi,Giãn phế quản,Hô hấp,(NT 48)  Xquang giãn PQ: Tăng thể tích thùy phổi — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-049,noi,Giãn phế quản,Hô hấp,Xquang trong giãn phế quản: Phổi bên giãn phế quản to hơn — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-050,noi,Giãn phế quản,Hô hấp,Xquang trong giãn phế quản: Hình ảnh đường ray song song — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-051,noi,Giãn phế quản,Hô hấp,Xquang trong giãn phế quản: Hình ảnh tổ ong — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-052,noi,Giãn phế quản,Hô hấp,Xquang trong giãn phế quản: Hình ảnh phổi bẩn — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-053,noi,Giãn phế quản,Hô hấp,Điều trị kháng sinh trong Giãn phế quản: Không quá 7 ngày — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-gpq-054,noi,Giãn phế quản,Hô hấp,Điều trị kháng sinh trong Giãn phế quản: Nếu đờm mủ thối thì dùng Beta lactam phối hợp metronidazol — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-055,noi,Giãn phế quản,Hô hấp,Điều trị kháng sinh trong Giãn phế quản: Dùng thuộc viên và tiêm tùy theo mức độ nặng của bội nhiễm — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-gpq-056,noi,Giãn phế quản,Hô hấp,"Điều trị kháng sinh trong Giãn phế quản: Nếu có hội chứng xoang, cần phối hợp Erythromycin trong điều trị — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-gpq-057,noi,Giãn phế quản,Hô hấp,"Giãn phế quản có kèm theo viêm xoang sàng, xoang má thì dùng kháng sinh gì:: Macrolid (DP) Erytho 10mg/ kg/d — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
