id,subject,chapter,group,question,option_a,option_b,option_c,option_d,option_e,correct_answer,explanation
noi-cush-014,noi,HC Cushing và bệnh Cushing,Nội tiết,Những yếu tố gợi ý HC Cushing do ung thư tuyến thượng thận (1 rv khác: Carcinoma tuyến thượng thận có biểu hiện gì),"CT có u 1 bên thượng thận, hoại tử bên trong, kích thước >6cm",Giảm K máu,"Triệu chứng sớm, nặng",Cả 3,,d,
noi-cush-015,noi,HC Cushing và bệnh Cushing,Nội tiết,"Biến chứng của hội chứng cushing: (1 rv khác là Đ/S) — Nhiễm nấm, loãng xương, tăng huyết áp. — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-cush-016,noi,HC Cushing và bệnh Cushing,Nội tiết,Biến chứng của hội chứng cushing: (1 rv khác là Đ/S) — Tăng kali máu — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-cush-017,noi,HC Cushing và bệnh Cushing,Nội tiết,Biến chứng của hội chứng cushing: (1 rv khác là Đ/S) — Nhiễm trùng — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-cush-018,noi,HC Cushing và bệnh Cushing,Nội tiết,"Biến chứng của hội chứng cushing: (1 rv khác là Đ/S) — Tăng Ca máu, loãng xương, SGMD — Nhận định này đúng hay sai?",Đúng,Sai,,,,b,
noi-cush-019,noi,HC Cushing và bệnh Cushing,Nội tiết,Test chẩn đoán cường Cortisol gồm:,Định lượng cortisol máu tăng,17 OHCS niệu tăng,Định lượng cortisol trong nước tiểu 24h tăng,Cả 3 đáp án trên,,d,
noi-cush-020,noi,HC Cushing và bệnh Cushing,Nội tiết,XN chẩn đoán có cường cortisol máu,Cortisol niệu tăng,Cortisol máu tăng mất nhịp ngày đêm,17-OHCS niệu tăng,Tất cả đều đúng,,d,
noi-cush-021,noi,HC Cushing và bệnh Cushing,Nội tiết,HC cushing chủ yếu do tăng hormone nào?,Catecholamin,Aldosteron,Cortisol,Androgen,,c,
noi-cush-022,noi,HC Cushing và bệnh Cushing,Nội tiết,Phương pháp điều trị tối ưu nhất đối với u lành tính tuyến thượng thận?,Phẫu thuật,Tia xạ,Nội khoa,Cả 3 đều đúng,,a,
noi-cush-023,noi,HC Cushing và bệnh Cushing,Nội tiết,Tác dụng phụ của GC,THA,Hạ HA,Xạm da,Hạ Glu máu,,a,
noi-cush-024,noi,HC Cushing và bệnh Cushing,Nội tiết,"BN HC cushing tiến triển nhan mạnh, rậm lông, nam hóa. Chẩn đoán",UT tuyến thượng thận,UT tuyến yên,U tuyến thượng thận lành tính,B+ C,,a,
noi-cush-025,noi,HC Cushing và bệnh Cushing,Nội tiết,Cortisol máu trong hội chứng cushing,Giảm 8h sáng và bình thường lúc 23h,Tăng và mất nhịp ngày đêm,Tăng lúc 8h sáng và bình thường lúc tối,,,b,
noi-cush-026,noi,HC Cushing và bệnh Cushing,Nội tiết,Bệnh nhân dùng Glucocorticoid kéo dài cần thực hiện chế độ ăn sau:,Nhiều chất béo,Giàu Calci,Ăn mặn,Uống nhiều nước,,b,
noi-cush-027,noi,HC Cushing và bệnh Cushing,Nội tiết,Nghiệm pháp liddle liều cao không ức chế được trong trường hợp:,U tế bào ưa kiềm thùy trước tuyến yên.,U lành tính thượng thận.,Ung thư thượng thận.,B và C.,,d,Liddle liều cao: Dexa 2mg/6h trong 2 ngày
noi-cush-028,noi,HC Cushing và bệnh Cushing,Nội tiết,Chẩn đoán U tuyến thượng thận trong hội chứng Cushing,90% chẩn đoán được qua CLVT,Trong bệnh Cushing tuyến thượng thận một bên teo nhỏ một bên bình thường,Dùng siêu âm,,,a,(T393 sgk)
noi-cush-029,noi,HC Cushing và bệnh Cushing,Nội tiết,"BN vào viện vì HC Cushing, cortisol máu cao",Dexamethason liều thấp 1g qua đêm,Cortisol nước tiểu,2 test khác dùng 2g,,,a,(test sàng lọc – giống case trg slide thầy)
noi-cush-030,noi,HC Cushing và bệnh Cushing,Nội tiết,Biến đổi về máu trong hội chứng Cushing:,Tăng hồng cầu,Tăng glucose,Giảm K huyết,Cả 3 đáp án trên,,d,
noi-cush-031,noi,HC Cushing và bệnh Cushing,Nội tiết,HC Cushing do u lành tinh tuyến thượng thận có triệu chứng:,"Cortisol máu tăng, nghiệm pháp ức chế bằng dexamethason 1mg qua đêm không ức chế được, ACTH giảm, nghiệm pháp ức chế bằng dexamethason liều cao không ức chế được","Cortisol máu tăng, nghiệm pháp ức chế bằng dexamethason 1mg qua đêm ức chế được, ACTH giảm, hố yên rộng trên XQ","Cortisol máu tăng, nghiệm pháp ức chế bằng dexamethason 1mg qua đêm không ức chế được, ACTH tăng, nghiệm pháp ức chế bằng dexamethason liều cao không ức chế được","Cortisol máu tăng, nghiệm pháp ức chế bằng dexamethason 1mg qua đêm không ức chế được, ACTH tăng, CT thấy quá sản thượng thận 2 bên",,a,
noi-cush-032,noi,HC Cushing và bệnh Cushing,Nội tiết,"Hội chứng Cushing có giảm thị lực kèm theo hẹp thị trường, nguyên nhân là:",U tuyến yên tăng tiết ACTH,Carcinoma tuyến thượng thân,U tiết ACTH lạc chỗ,Hội chứng Cushing do thuốc,,a,
noi-cush-033,noi,HC Cushing và bệnh Cushing,Nội tiết,Test dexamethason liều cao 2 ngày nhằm mục đích:,Chẩn đoán nguyên nhân,Chẩn đoán cường cortisol,A+B,Không cả A+B,,a,
noi-cush-034,noi,HC Cushing và bệnh Cushing,Nội tiết,Test chẩn đoán cường cortisol bao gồm: Cortisol niệu 24h — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-cush-035,noi,HC Cushing và bệnh Cushing,Nội tiết,Test chẩn đoán cường cortisol bao gồm: Test ức chế dexa qua đêm 1mg lúc 11h — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-cush-036,noi,HC Cushing và bệnh Cushing,Nội tiết,Test chẩn đoán cường cortisol bao gồm: Test ức chế dexa liều thấp — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-cush-037,noi,HC Cushing và bệnh Cushing,Nội tiết,Test chẩn đoán cường cortisol bao gồm: Định lg cortisol nhịp ngày đêm — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-cush-038,noi,HC Cushing và bệnh Cushing,Nội tiết,U thượng thận nguyên phát không gây ra: Giảm ACTH máu — Nhận định này đúng hay sai?,Đúng,Sai,,,,b,
noi-cush-039,noi,HC Cushing và bệnh Cushing,Nội tiết,"HC cushing nguyên nhân tại tuyến thượng thận thì:: test ức chế dexamethason 1mg qua đêm không ưc chế được, và ACTH giảm. — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
noi-cush-040,noi,HC Cushing và bệnh Cushing,Nội tiết,Bệnh nào ko có HC cushing:: Addison — Nhận định này đúng hay sai?,Đúng,Sai,,,,a,
noi-cush-041,noi,HC Cushing và bệnh Cushing,Nội tiết,"HC Cushing hay gặp ở tuổi: 20 – 50 tuổi Bệnh Cushing: nữ > nam, 20-40t — Nhận định này đúng hay sai?",Đúng,Sai,,,,a,
